WARNING: ../pv2spec/pv2spec-sim.v:154: $readmemh: Standard inconsistency, following 1364-2005.
VCD info: dumpfile ../tests/build/vmh/parcv2-bgez.vcd opened for output.
{ xxxxxxxx |        |        |        |        }
{ 000800f8 |  addiu |  (-_-) |  addiu |  addiu }
{ 000800fc |  addiu |  addiu |  (-_-) |  (-_-) }
{#00080100 |# bne   |  addiu |  addiu |  addiu }
{ 00080100 |  bne   |  addiu |  addiu |  addiu }

{ 00080104 |  addiu |  (-_-) |  addiu |  addiu }
{-00080108-|- addiu-|  bne   |  (-_-) |  (-_-) }
{ 00080104 |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080108 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 0008010c |  mtc0  |  (-_-) |  (-_-) |  (-_-) }
{ 00080110 |  bne   |  addiu |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  mtc0  |  addiu |  addiu }
{-00080118-|- nop  -|  bne   |  mtc0  |  mtc0  }

{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
{ 00080110 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080114 |  nop   |  (-_-) |  (-_-) |  (-_-) }
{-00080118-|- nop  -|  bne   |  (-_-) |  (-_-) }
{ 0008010c |  (-_-) |  (-_-) |  bne   |  bne   }
